family,memory_mode,reasoning_depth,grid_rows,grid_cols,demonstrations,seed,exact_match,cell_accuracy,correct_cells,total_cells,memory_norm,effective_rank,entropy,interference_score,reconstruction_error,mean_sparsity,reasoning_steps,halting_step
Translation,baseline,1,5,5,3,1,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49497767857142855,2,-1
Translation,baseline,1,5,5,3,2,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5198102678571429,2,-1
Translation,baseline,1,5,5,3,3,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5172991071428571,2,-1
Translation,baseline,1,5,5,3,4,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5131138392857143,2,-1
Translation,baseline,1,5,5,3,5,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5064174107142857,2,-1
Translation,baseline,1,5,5,3,6,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49386160714285715,2,-1
Translation,baseline,1,5,5,3,7,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5290178571428571,2,-1
Translation,baseline,1,5,5,3,8,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49888392857142855,2,-1
Translation,baseline,1,5,5,3,9,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5078125,2,-1
Translation,baseline,1,5,5,3,10,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5041852678571429,2,-1
Translation,baseline,1,5,5,3,11,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5086495535714286,2,-1
Translation,baseline,1,5,5,3,12,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.482421875,2,-1
Translation,baseline,1,5,5,3,13,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.51171875,2,-1
Translation,baseline,1,5,5,3,14,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49497767857142855,2,-1
Translation,baseline,1,5,5,3,15,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5086495535714286,2,-1
Translation,baseline,1,5,5,3,16,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49916294642857145,2,-1
Translation,baseline,1,5,5,3,17,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49246651785714285,2,-1
Translation,baseline,1,5,5,3,18,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4935825892857143,2,-1
Translation,baseline,1,5,5,3,19,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5186941964285714,2,-1
Translation,baseline,1,5,5,3,20,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.474609375,2,-1
Translation,baseline,4,5,5,3,1,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49497767857142855,5,-1
Translation,baseline,4,5,5,3,2,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5198102678571429,5,-1
Translation,baseline,4,5,5,3,3,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5172991071428571,5,-1
Translation,baseline,4,5,5,3,4,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5131138392857143,5,-1
Translation,baseline,4,5,5,3,5,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5064174107142857,5,-1
Translation,baseline,4,5,5,3,6,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49386160714285715,5,-1
Translation,baseline,4,5,5,3,7,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5290178571428571,5,-1
Translation,baseline,4,5,5,3,8,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49888392857142855,5,-1
Translation,baseline,4,5,5,3,9,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5078125,5,-1
Translation,baseline,4,5,5,3,10,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5041852678571429,5,-1
Translation,baseline,4,5,5,3,11,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5086495535714286,5,-1
Translation,baseline,4,5,5,3,12,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.482421875,5,-1
Translation,baseline,4,5,5,3,13,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.51171875,5,-1
Translation,baseline,4,5,5,3,14,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49497767857142855,5,-1
Translation,baseline,4,5,5,3,15,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5086495535714286,5,-1
Translation,baseline,4,5,5,3,16,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49916294642857145,5,-1
Translation,baseline,4,5,5,3,17,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49246651785714285,5,-1
Translation,baseline,4,5,5,3,18,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4935825892857143,5,-1
Translation,baseline,4,5,5,3,19,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5186941964285714,5,-1
Translation,baseline,4,5,5,3,20,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.474609375,5,-1
Translation,baseline,8,5,5,3,1,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49497767857142855,9,-1
Translation,baseline,8,5,5,3,2,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5198102678571429,9,-1
Translation,baseline,8,5,5,3,3,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5172991071428571,9,-1
Translation,baseline,8,5,5,3,4,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5131138392857143,9,-1
Translation,baseline,8,5,5,3,5,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5064174107142857,9,-1
Translation,baseline,8,5,5,3,6,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49386160714285715,9,-1
Translation,baseline,8,5,5,3,7,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5290178571428571,9,-1
Translation,baseline,8,5,5,3,8,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49888392857142855,9,-1
Translation,baseline,8,5,5,3,9,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5078125,9,-1
Translation,baseline,8,5,5,3,10,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5041852678571429,9,-1
Translation,baseline,8,5,5,3,11,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5086495535714286,9,-1
Translation,baseline,8,5,5,3,12,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.482421875,9,-1
Translation,baseline,8,5,5,3,13,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.51171875,9,-1
Translation,baseline,8,5,5,3,14,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49497767857142855,9,-1
Translation,baseline,8,5,5,3,15,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5086495535714286,9,-1
Translation,baseline,8,5,5,3,16,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49916294642857145,9,-1
Translation,baseline,8,5,5,3,17,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49246651785714285,9,-1
Translation,baseline,8,5,5,3,18,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4935825892857143,9,-1
Translation,baseline,8,5,5,3,19,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5186941964285714,9,-1
